DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Age at smoking initiation in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| smoking initiation	GCST001113	smoking initiation	chronic obstructive pulmonary disease
Response to angiotensin II receptor blocker treatment (losartan) (change in systolic blood pressure levels)	systolic blood pressure|| blood pressure|| response to losartan	GCST002583	systolic blood pressure|| blood pressure|| response to losartan	
Systolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	systolic blood pressure|| response to thiazide|| response to beta blocker	GCST005040	systolic blood pressure|| response to thiazide|| response to beta blocker	
Tacrolimus trough concentration in kidney transplant patients	tacrolimus measurement|| renal transplant outcome measurement	GCST005144	tacrolimus measurement	renal transplant outcome measurement
Resistance to Mycobacterium tuberculosis in HIV-positive individuals measured by a negative tuberculin skin test (continuous)	tuberculin skin test reactivity measurement|| decreased susceptibility to bacterial infection	GCST004689	tuberculin skin test reactivity measurement|| decreased susceptibility to bacterial infection	
Resistance to Mycobacterium tuberculosis in HIV-positive individuals measured by a negative tuberculin skin test (dichotomous)	tuberculin skin test reactivity measurement|| decreased susceptibility to bacterial infection	GCST004690	tuberculin skin test reactivity measurement|| decreased susceptibility to bacterial infection	
Cholesterol ester levels in large VLDL	very low density lipoprotein cholesterol measurement|| esterified cholesterol measurement	GCST005461	very low density lipoprotein cholesterol measurement|| esterified cholesterol measurement	
Cholesterol ester levels in medium VLDL	very low density lipoprotein cholesterol measurement|| esterified cholesterol measurement	GCST005465	very low density lipoprotein cholesterol measurement|| esterified cholesterol measurement	
Phospholipid levels in large VLDL	very low density lipoprotein cholesterol measurement|| phospholipid measurement	GCST005454	very low density lipoprotein cholesterol measurement|| phospholipid measurement	
Phospholipid levels in medium VLDL	very low density lipoprotein cholesterol measurement|| phospholipid measurement	GCST005463	very low density lipoprotein cholesterol measurement|| phospholipid measurement	
Phospholipid levels in small VLDL	very low density lipoprotein cholesterol measurement|| phospholipid measurement	GCST005469	very low density lipoprotein cholesterol measurement|| phospholipid measurement	
Phospholipid levels in very large VLDL	very low density lipoprotein cholesterol measurement|| phospholipid measurement	GCST005451	very low density lipoprotein cholesterol measurement|| phospholipid measurement	
Phospholipid levels in very small VLDL	very low density lipoprotein cholesterol measurement|| phospholipid measurement	GCST005474	very low density lipoprotein cholesterol measurement|| phospholipid measurement	
Response to anti-VEGF treatment in neovascular age-related macular degeneration (visual acuity)	visual acuity measurement|| wet macular degeneration|| response to anti-vascular endothelial growth factor drug	GCST006808	visual acuity measurement|| response to anti-vascular endothelial growth factor drug	wet macular degeneration
Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	cognitive impairment|| Alzheimer's disease|| cognitive decline measurement	GCST004253	cognitive impairment|| Alzheimer's disease|| cognitive decline measurement	
ACPA-negative rheumatoid arthritis (smoking interaction)	rheumatoid arthritis|| smoking status measurement|| ACPA-negative rheumatoid arthritis	GCST006807	rheumatoid arthritis|| smoking status measurement|| ACPA-negative rheumatoid arthritis	
ACPA-positive rheumatoid arthritis (smoking interaction)	rheumatoid arthritis|| smoking status measurement|| ACPA-positive rheumatoid arthritis	GCST006410	rheumatoid arthritis|| smoking status measurement|| ACPA-positive rheumatoid arthritis	
Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)	urticaria|| response to non-steroidal anti-inflammatory|| angioedema	GCST002263	urticaria|| response to non-steroidal anti-inflammatory|| angioedema	
Acylcarnitine levels	acylcarnitine measurement|| blood metabolite measurement	GCST002961	acylcarnitine measurement|| blood metabolite measurement	
Adult onset asthma (smoking interaction)	smoking behavior|| adult onset asthma	GCST004220	smoking behavior|| adult onset asthma	
Advanced age-related macular degeneration	atrophic macular degeneration|| age-related macular degeneration|| wet macular degeneration	GCST003219	atrophic macular degeneration|| age-related macular degeneration|| wet macular degeneration	
Advanced glycation end-product levels	advanced glycation end-product measurement|| type II diabetes mellitus	GCST003457	advanced glycation end-product measurement|| type II diabetes mellitus	
Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)	response to 5' fluorouracil|| response to antineoplastic agent	GCST001997	response to 5' fluorouracil|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)	response to antineoplastic agent|| response to anthracycline-based chemotherapy	GCST002008	response to antineoplastic agent|| response to anthracycline-based chemotherapy	
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)	response to antineoplastic agent|| response to antimetabolite	GCST002005	response to antineoplastic agent|| response to antimetabolite	
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)	response to antineoplastic agent|| response to antimicrotubule agent	GCST002001	response to antineoplastic agent|| response to antimicrotubule agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)	response to platinum based chemotherapy|| response to antineoplastic agent	GCST001998	response to platinum based chemotherapy|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	response to topoisomerase inhibitor|| response to antineoplastic agent	GCST001994	response to topoisomerase inhibitor|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)	response to camptothecin|| response to antineoplastic agent	GCST001993	response to camptothecin|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)	response to carboplatin|| response to antineoplastic agent	GCST002004	response to carboplatin|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	response to cisplatin|| response to antineoplastic agent	GCST002007	response to cisplatin|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)	response to cyclophosphamide|| response to antineoplastic agent	GCST002002	response to cyclophosphamide|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)	response to docetaxel|| response to antineoplastic agent	GCST001995	response to docetaxel|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)	response to antineoplastic agent|| response to doxorubicin	GCST002009	response to antineoplastic agent|| response to doxorubicin	
Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)	response to epirubicin|| response to antineoplastic agent	GCST001996	response to epirubicin|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)	response to etoposide|| response to antineoplastic agent	GCST002000	response to etoposide|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)	response to gemcitabine|| response to antineoplastic agent	GCST002003	response to gemcitabine|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)	response to carboplatin|| response to paclitaxel|| response to antineoplastic agent	GCST002006	response to carboplatin|| response to paclitaxel|| response to antineoplastic agent	
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)	response to paclitaxel|| response to antineoplastic agent	GCST001999	response to paclitaxel|| response to antineoplastic agent	
Affective disorder and suicide attempts	attempted suicide|| mood disorder	GCST006420	attempted suicide|| mood disorder	
Age of smoking initiation	age at onset|| smoking initiation	GCST002394	age at onset|| smoking initiation	
Age-related disease endophenotypes	total cholesterol measurement|| diastolic blood pressure|| triglyceride measurement|| systolic blood pressure|| hematocrit|| ventricular rate measurement|| glucose measurement|| body mass index|| high density lipoprotein cholesterol measurement	GCST004046	total cholesterol measurement|| diastolic blood pressure|| triglyceride measurement|| systolic blood pressure|| hematocrit|| ventricular rate measurement|| glucose measurement|| body mass index|| high density lipoprotein cholesterol measurement	
Age-related diseases and mortality	cancer|| heart failure|| diabetes mellitus|| stroke|| coronary heart disease|| atrial fibrillation|| mortality	GCST004044	cancer|| heart failure|| diabetes mellitus|| stroke|| coronary heart disease|| atrial fibrillation|| mortality	
"Age-related diseases, mortality and associated endophenotypes"	total cholesterol measurement|| hematocrit|| stroke|| ventricular rate measurement|| coronary heart disease|| body mass index|| atrial fibrillation|| high density lipoprotein cholesterol measurement|| cancer|| diastolic blood pressure|| triglyceride measurement|| systolic blood pressure|| heart failure|| diabetes mellitus|| glucose measurement|| mortality	GCST004045	total cholesterol measurement|| hematocrit|| stroke|| ventricular rate measurement|| coronary heart disease|| body mass index|| atrial fibrillation|| high density lipoprotein cholesterol measurement|| cancer|| diastolic blood pressure|| triglyceride measurement|| systolic blood pressure|| heart failure|| diabetes mellitus|| glucose measurement|| mortality	
Age-related macular degeneration	glaucoma|| age-related macular degeneration	GCST001899	glaucoma|| age-related macular degeneration	
Age-related macular degeneration (CNV vs. GA)	atrophic macular degeneration|| wet macular degeneration	GCST001577	atrophic macular degeneration|| wet macular degeneration	
Age-related macular degeneration (smoking status interaction)	smoking status measurement|| age-related macular degeneration	GCST001990	smoking status measurement|| age-related macular degeneration	
Aggressive periodontitis (sex interaction)	sex interaction measurement|| aggressive periodontitis	GCST002635	sex interaction measurement|| aggressive periodontitis	
Aggressive prostate cancer	cancer aggressiveness measurement|| prostate carcinoma	GCST003585	cancer aggressiveness measurement|| prostate carcinoma	
Aging (time to death)	longevity|| aging	GCST001167	longevity|| aging	
Aging traits	age at menopause|| aging|| exercise test|| age at death	GCST000096	age at menopause|| aging|| exercise test|| age at death	
Alcohol consumption (drinkers vs non-drinkers)	alcohol consumption measurement|| alcohol drinking	GCST004404	alcohol consumption measurement|| alcohol drinking	
Alcohol consumption (drinks per week)	alcohol consumption measurement|| alcohol drinking	GCST004405	alcohol consumption measurement|| alcohol drinking	
Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis	alcoholic liver cirrhosis|| alcohol dependence|| alcoholic pancreatitis	GCST004757	alcoholic liver cirrhosis|| alcohol dependence|| alcoholic pancreatitis	
Alcohol misuse (trauma interaction)	stressful life event measurement|| alcohol dependence measurement	GCST004225	stressful life event measurement|| alcohol dependence measurement	
Alzheimer's disease (APOE e4 interaction)	Alzheimer's disease|| APOE carrier status	GCST002814	Alzheimer's disease|| APOE carrier status	
Alzheimer's disease or family history of Alzheimer's disease	Alzheimer's disease|| family history of Alzheimer’s disease	GCST005922	Alzheimer's disease|| family history of Alzheimer’s disease	
Alzheimer's disease or small vessel stroke	Alzheimer's disease|| small vessel stroke	GCST003423	Alzheimer's disease|| small vessel stroke	
Alzheimer's disease or type 2 diabetes (pleiotropy)	Alzheimer's disease|| type II diabetes mellitus	GCST004880	Alzheimer's disease|| type II diabetes mellitus	
Amino acid levels	blood metabolite measurement|| amino acid measurement	GCST002966	blood metabolite measurement|| amino acid measurement	
Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| amyotrophic lateral sclerosis|| celiac disease|| ulcerative colitis|| Crohn's disease	GCST005321	rheumatoid arthritis|| type I diabetes mellitus|| psoriasis|| amyotrophic lateral sclerosis|| celiac disease|| ulcerative colitis|| Crohn's disease	
Amyotrophic lateral sclerosis or frontotemporal dementia	amyotrophic lateral sclerosis|| Frontotemporal dementia	GCST002510	amyotrophic lateral sclerosis|| Frontotemporal dementia	
Amyotrophic lateral sclerosis or schizophrenia (pleiotropy)	schizophrenia|| amyotrophic lateral sclerosis	GCST004252	schizophrenia|| amyotrophic lateral sclerosis	
Androgen levels	dihydrotestosterone measurement|| testosterone measurement	GCST001653	dihydrotestosterone measurement|| testosterone measurement	
Anorexia nervosa or obsessive-compulsive disorder	anorexia nervosa|| obsessive-compulsive disorder	GCST006576	anorexia nervosa|| obsessive-compulsive disorder	
Anti-thyroid drug induced agranulocytosis	drug-induced agranulocytosis|| response to anti-thyroid drug	GCST003527	drug-induced agranulocytosis|| response to anti-thyroid drug	
Antiepileptic drug-induced maculopapular exanthema	maculopapular eruption|| response to anticonvulsant	GCST005197	maculopapular eruption|| response to anticonvulsant	
Antipsychotic drug-induced weight gain (time interaction)	longitudinal BMI measurement|| antipsychotic drug related weight gain	GCST003108	longitudinal BMI measurement|| antipsychotic drug related weight gain	
Antithyroid drug-induced agranulocytosis	drug-induced agranulocytosis|| response to thioamide	GCST003580	drug-induced agranulocytosis|| response to thioamide	
Anxiety and major depressive disorder	unipolar depression|| anxiety	GCST002200	unipolar depression|| anxiety	
Asthma (sex interaction)	sex interaction measurement|| asthma	GCST002445	sex interaction measurement|| asthma	
Asthma and hay fever	seasonal allergic rhinitis|| asthma	GCST002322	seasonal allergic rhinitis|| asthma	
Asthma or atopy (farm exposure interaction)	farm exposure measurement|| asthma	GCST000934	farm exposure measurement|| asthma	
Asthma or chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| asthma	GCST002519	chronic obstructive pulmonary disease|| asthma	
Asymmetrical dimethylarginine levels	asymmetrical dimethylarginine measurement|| serum dimethylarginine measurement	GCST002241	asymmetrical dimethylarginine measurement|| serum dimethylarginine measurement	
Atopic march	childhood onset asthma|| atopic eczema|| atopic march	GCST003180	childhood onset asthma|| atopic eczema|| atopic march	
Attention deficit hyperactivity disorder (sex interaction)	attention deficit hyperactivity disorder|| sex interaction measurement	GCST005361	attention deficit hyperactivity disorder|| sex interaction measurement	
Attention deficit hyperactivity disorder and conduct disorder	attention deficit hyperactivity disorder|| conduct disorder	GCST000253	attention deficit hyperactivity disorder|| conduct disorder	
Attention deficit hyperactivity disorder and obsessive compulsive disorder	obsessive-compulsive disorder|| attention deficit hyperactivity disorder	GCST004223	obsessive-compulsive disorder|| attention deficit hyperactivity disorder	
Attention deficit hyperactivity disorder or educational attainment (years of education) (pleiotropy)	attention deficit hyperactivity disorder|| self reported educational attainment	GCST006216	attention deficit hyperactivity disorder|| self reported educational attainment	
Attention deficit hyperactivity disorder symptoms (maternal expressed emotions interaction)	attention deficit hyperactivity disorder|| parental emotion expression measurmement	GCST000247	attention deficit hyperactivity disorder|| parental emotion expression measurmement	
Autism spectrum disorder or schizophrenia	schizophrenia|| autism spectrum disorder	GCST004521	schizophrenia|| autism spectrum disorder	
Autism spectrum disorder-related traits	autism spectrum disorder|| autism|| autism spectrum disorder symptom	GCST002639	autism spectrum disorder|| autism|| autism spectrum disorder symptom	
"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"	attention deficit hyperactivity disorder|| unipolar depression|| schizophrenia|| autism spectrum disorder|| bipolar disorder	GCST001877	attention deficit hyperactivity disorder|| unipolar depression|| schizophrenia|| autism spectrum disorder|| bipolar disorder	
Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	autoimmune thyroid disease|| Hashimoto's thyroiditis|| Graves disease	GCST005524	autoimmune thyroid disease|| Hashimoto's thyroiditis|| Graves disease	
Axial length or spherical error (univariate decomposition analysis)	axial length measurement|| refractive error measurement	GCST006864	axial length measurement|| refractive error measurement	
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)"	Hodgkins lymphoma|| multiple myeloma|| chronic lymphocytic leukemia	GCST004099	Hodgkins lymphoma|| multiple myeloma|| chronic lymphocytic leukemia	
Barrett's esophagus  or Esophageal adenocarcinoma	esophageal adenocarcinoma|| Barrett's esophagus	GCST003740	esophageal adenocarcinoma|| Barrett's esophagus	
Barrett's esophagus x BMI interaction	Barrett's esophagus|| body mass index	GCST006529	Barrett's esophagus|| body mass index	
Barrett's esophagus x gastroesophageal reflux disease interaction	Barrett's esophagus|| gastroesophageal reflux disease	GCST006526	Barrett's esophagus|| gastroesophageal reflux disease	
Barrett's esophagus x pack-years of smoking exposure interaction	pack-years measurement|| Barrett's esophagus	GCST006528	pack-years measurement|| Barrett's esophagus	
Barrett's esophagus x smoking interaction	smoking status measurement|| Barrett's esophagus	GCST006527	smoking status measurement|| Barrett's esophagus	
Behavioral disturbance or psychiatric symptoms and prion disease	behavioral abnormality|| prion disease	GCST002866	behavioral abnormality|| prion disease	
Behavioural disinhibition (generation interaction)	nicotine use|| generational effect measurement|| illegal drug consumption|| non-substance related disinhibited behaviour|| alcohol drinking|| alcohol dependence	GCST002131	nicotine use|| generational effect measurement|| illegal drug consumption|| non-substance related disinhibited behaviour|| alcohol drinking|| alcohol dependence	
Benign prostatic hyperplasia and/or lower urinary tract symptoms	lower urinary tract symptom|| benign prostatic hyperplasia	GCST004638	lower urinary tract symptom|| benign prostatic hyperplasia	
Binge eating behaviour and bipolar disorder	binge eating|| bipolar disorder	GCST005386	binge eating|| bipolar disorder	
Binge eating behaviour and bipolar disorder	binge eating|| bipolar disorder	GCST002419	binge eating|| bipolar disorder	
Biochemical measures	serum albumin measurement|| total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| fibrinogen measurement|| uric acid measurement|| high density lipoprotein cholesterol measurement	GCST000328	serum albumin measurement|| total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| fibrinogen measurement|| uric acid measurement|| high density lipoprotein cholesterol measurement	
Biomedical quantitative traits	diastolic blood pressure|| systolic blood pressure|| bone density|| heart rate|| waist-hip ratio|| body mass index	GCST000381	diastolic blood pressure|| systolic blood pressure|| bone density|| heart rate|| waist-hip ratio|| body mass index	
Bipolar disorder (body mass index interaction)	bipolar disorder|| body mass index	GCST002306	bipolar disorder|| body mass index	
Bipolar disorder (inflammation and infection response interaction)	HSV1 seropositivity|| bipolar disorder|| cytomegalovirus seropositivity	GCST002815	HSV1 seropositivity|| bipolar disorder|| cytomegalovirus seropositivity	
Bipolar disorder and eating disorder	eating disorder|| bipolar disorder	GCST003135	eating disorder|| bipolar disorder	
Bipolar disorder and schizophrenia	schizophrenia|| bipolar disorder	GCST001567	schizophrenia|| bipolar disorder	
Bipolar disorder lithium response (categorical) or schizophrenia	schizophrenia|| bipolar disorder|| response to lithium ion	GCST005082	schizophrenia|| bipolar disorder|| response to lithium ion	
Bipolar disorder lithium response (continuous) or schizophrenia	schizophrenia|| bipolar disorder|| response to lithium ion	GCST005081	schizophrenia|| bipolar disorder|| response to lithium ion	
Bipolar disorder or attention deficit hyperactivity disorder	attention deficit hyperactivity disorder|| bipolar disorder	GCST004001	attention deficit hyperactivity disorder|| bipolar disorder	
Bipolar disorder or major depressive disorder	unipolar depression|| bipolar disorder	GCST000641	unipolar depression|| bipolar disorder	
Blood metabolite levels	urate measurement|| mannose measurement|| blood metabolite measurement|| X12063 measurement	GCST002872	urate measurement|| mannose measurement|| blood metabolite measurement|| X12063 measurement	
Blood pressure	diastolic blood pressure|| systolic blood pressure	GCST004705	diastolic blood pressure|| systolic blood pressure	
Blood pressure (age interaction)	blood pressure|| age at assessment	GCST002495	blood pressure|| age at assessment	
Blood pressure (anthropometric measures interaction)	anthropometric measurement|| diastolic blood pressure|| systolic blood pressure	GCST002471	anthropometric measurement|| diastolic blood pressure|| systolic blood pressure	
Blood pressure (response to antihypertensive medication)	blood pressure|| response to antihypertensive drug	GCST002262	blood pressure|| response to antihypertensive drug	
Blood pressure (smoking interaction)	pack-years measurement|| smoking behavior|| smoking status measurement|| diastolic blood pressure|| systolic blood pressure|| blood pressure|| smoking behaviour measurement|| cigarettes per day measurement	GCST002587	pack-years measurement|| smoking behavior|| smoking status measurement|| diastolic blood pressure|| systolic blood pressure|| blood pressure|| smoking behaviour measurement|| cigarettes per day measurement	
Blood pressure measurement (cold pressor test)	blood pressure|| response to cold pressor test	GCST002247	blood pressure|| response to cold pressor test	
Blood pressure measurement (high sodium and potassium intervention)	blood pressure|| response to high sodium diet|| response to dietary potassium supplementation	GCST002252	blood pressure|| response to high sodium diet|| response to dietary potassium supplementation	
Blood pressure measurement (high sodium intervention)	blood pressure|| response to high sodium diet	GCST002249	blood pressure|| response to high sodium diet	
Blood pressure measurement (low sodium intervention)	blood pressure|| response to low sodium diet	GCST002250	blood pressure|| response to low sodium diet	
Blood pressure traits (multi-trait analysis)	pulse pressure measurement|| diastolic blood pressure|| systolic blood pressure|| hypertension	GCST004388	pulse pressure measurement|| diastolic blood pressure|| systolic blood pressure|| hypertension	
BMI (adjusted for smoking behaviour)	smoking behavior|| body mass index	GCST004495	smoking behavior|| body mass index	
BMI (smoking interaction)	smoking behavior|| body mass index	GCST004496	smoking behavior|| body mass index	
BMI x dairy intake interaction (1df interaction test)	energy intake|| body mass index	GCST006173	energy intake|| body mass index	
Body mass index	physical activity measurement|| body mass index	GCST004557	physical activity measurement|| body mass index	
Body mass index  (smoking years interaction)	smoking behaviour measurement|| body mass index	GCST004581	smoking behaviour measurement|| body mass index	
Body mass index (alcohol intake interaction)	alcohol consumption measurement|| body mass index	GCST001753	alcohol consumption measurement|| body mass index	
Body mass index (dietary energy interaction)	diet measurement|| body mass index	GCST004587	diet measurement|| body mass index	
Body mass index (ever vs never smoking interaction)	smoking behaviour measurement|| body mass index	GCST004586	smoking behaviour measurement|| body mass index	
Body mass index (joint analysis main effects and physical activity interaction)	physical activity measurement|| body mass index	GCST004558	physical activity measurement|| body mass index	
Body mass index (joint analysis main effects and smoking interaction)	smoking behavior|| body mass index	GCST004497	smoking behavior|| body mass index	
Body mass index (physical activity interaction)	physical activity measurement|| body mass index	GCST004568	physical activity measurement|| body mass index	
Body mass index (recreational physical activity interaction)	physical activity measurement|| body mass index	GCST004580	physical activity measurement|| body mass index	
Body mass index (sex interaction)	sex interaction measurement|| body mass index	GCST000930	sex interaction measurement|| body mass index	
Body mass index and cholesterol (psychopharmacological treatment)	total cholesterol measurement|| response to drug|| body mass index	GCST001440	total cholesterol measurement|| response to drug|| body mass index	
Body mass index and fat mass	adipose tissue measurement|| body mass index	GCST000443	adipose tissue measurement|| body mass index	
Body mass index and waist-hip ratio (pleiotropy)	waist-hip ratio|| body mass index	GCST006430	waist-hip ratio|| body mass index	
Body mass index x age interaction	body mass index|| age at assessment	GCST005954	body mass index|| age at assessment	
Body mass index x sex interaction	sex interaction measurement|| body mass index	GCST005949	sex interaction measurement|| body mass index	
Body mass index x sex x age interaction	sex interaction measurement|| body mass index|| age at assessment	GCST005955	sex interaction measurement|| body mass index|| age at assessment	
Body mass index x sex x age interaction (4df test)	sex interaction measurement|| body mass index|| age at assessment	GCST005950	sex interaction measurement|| body mass index|| age at assessment	
Bone mineral density (hip) and age at menarche	hip bone mineral density|| age at menarche	GCST003102	hip bone mineral density|| age at menarche	
Bone mineral density (sex interaction)	sex interaction measurement|| bone density	GCST001566	sex interaction measurement|| bone density	
Bone mineral density (spine) and age at menarche	age at menarche|| spine bone mineral density	GCST003101	age at menarche|| spine bone mineral density	
Brain structure (hippocampal volume)	brain measurement|| hippocampal volume	GCST000615	brain measurement|| hippocampal volume	
Breast cancer (menopausal hormone therapy interaction)	breast carcinoma|| hormone replacement therapy	GCST002265	breast carcinoma|| hormone replacement therapy	
Breast cancer (menopausal hormone therapy interaction)	breast carcinoma|| hormone replacement therapy	GCST001869	breast carcinoma|| hormone replacement therapy	
Breast cancer and/or colorectal cancer	colorectal cancer|| breast carcinoma	GCST006035	colorectal cancer|| breast carcinoma	
Breast milk fatty acid composition (infant genotype effect)	fatty acid measurement|| fetal genotype effect measurement|| breast milk measurement	GCST005587	fatty acid measurement|| fetal genotype effect measurement|| breast milk measurement	
Breast milk fatty acid composition (maternal genotype effect)	fatty acid measurement|| breast milk measurement|| parental genotype effect measurement	GCST005586	fatty acid measurement|| breast milk measurement|| parental genotype effect measurement	
Burning and freckling	freckles|| sunburn	GCST000196	freckles|| sunburn	
C-reactive protein (red blood cell fatty acid level interaction)	fatty acid measurement|| C-reactive protein measurement	GCST004815	fatty acid measurement|| C-reactive protein measurement	
C-reactive protein and white blood cell count	leukocyte count|| C-reactive protein measurement	GCST001605	leukocyte count|| C-reactive protein measurement	
C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	C-reactive protein measurement|| high density lipoprotein cholesterol measurement	GCST003680	C-reactive protein measurement|| high density lipoprotein cholesterol measurement	
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	low density lipoprotein cholesterol measurement|| C-reactive protein measurement	GCST003679	low density lipoprotein cholesterol measurement|| C-reactive protein measurement	
C-reactive protein levels or total cholesterol levels (pleiotropy)	total cholesterol measurement|| C-reactive protein measurement	GCST003678	total cholesterol measurement|| C-reactive protein measurement	
C-reactive protein levels or triglyceride levels (pleiotropy)	triglyceride measurement|| C-reactive protein measurement	GCST003681	triglyceride measurement|| C-reactive protein measurement	
Calcific aortic valve stenosis	aortic stenosis|| aortic valve calcification	GCST005785	aortic stenosis|| aortic valve calcification	
Cancer	cancer|| lung carcinoma|| estrogen-receptor negative breast cancer|| colorectal cancer|| ovarian endometrioid carcinoma|| prostate carcinoma|| ovarian serous carcinoma|| breast carcinoma|| ovarian carcinoma|| lung adenocarcinoma|| squamous cell lung carcinoma	GCST003587	cancer|| lung carcinoma|| estrogen-receptor negative breast cancer|| colorectal cancer|| ovarian endometrioid carcinoma|| prostate carcinoma|| ovarian serous carcinoma|| breast carcinoma|| ovarian carcinoma|| lung adenocarcinoma|| squamous cell lung carcinoma	
Cancer (pleiotropy)	cancer|| lung carcinoma|| estrogen-receptor negative breast cancer|| colorectal cancer|| ovarian endometrioid carcinoma|| prostate carcinoma|| ovarian serous carcinoma|| breast carcinoma|| ovarian carcinoma|| lung adenocarcinoma|| squamous cell lung carcinoma	GCST003588	cancer|| lung carcinoma|| estrogen-receptor negative breast cancer|| colorectal cancer|| ovarian endometrioid carcinoma|| prostate carcinoma|| ovarian serous carcinoma|| breast carcinoma|| ovarian carcinoma|| lung adenocarcinoma|| squamous cell lung carcinoma	
Carbamazepine-induced maculopapular exanthema	maculopapular eruption|| response to carbamazepine	GCST005198	maculopapular eruption|| response to carbamazepine	
Cardiac muscle measurement	cardiovascular measurement|| left ventricular hypertrophy	GCST000936	cardiovascular measurement|| left ventricular hypertrophy	
Cardiovascular disease risk factors	aspartate aminotransferase measurement|| butyrylcholinesterase measurement|| triglyceride measurement|| ferritin measurement|| serum gamma-glutamyl transferase measurement|| low density lipoprotein cholesterol measurement|| C-reactive protein measurement|| uric acid measurement|| high density lipoprotein cholesterol measurement	GCST001247	aspartate aminotransferase measurement|| butyrylcholinesterase measurement|| triglyceride measurement|| ferritin measurement|| serum gamma-glutamyl transferase measurement|| low density lipoprotein cholesterol measurement|| C-reactive protein measurement|| uric acid measurement|| high density lipoprotein cholesterol measurement	
Cardiovascular risk factors	waist circumference|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| cardiovascular disease|| high density lipoprotein cholesterol measurement	GCST004704	waist circumference|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| cardiovascular disease|| high density lipoprotein cholesterol measurement	
Cardiovascular risk factors (age interaction)	waist circumference|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| cardiovascular disease|| high density lipoprotein cholesterol measurement|| age at assessment	GCST000789	waist circumference|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| cardiovascular disease|| high density lipoprotein cholesterol measurement|| age at assessment	
Carotenoid and tocopherol levels	carotenoid measurement|| tocopherol measurement	GCST000324	carotenoid measurement|| tocopherol measurement	
Carotid artery intima media thickness (sex interaction)	sex interaction measurement|| carotid artery intima media thickness	GCST002856	sex interaction measurement|| carotid artery intima media thickness	
Carotid plaque burden (smoking interaction)	smoking behaviour measurement|| carotid plaque build	GCST002482	smoking behaviour measurement|| carotid plaque build	
Caudate activity during disappointment	caudate nucleus measurement|| response to disappointment|| functional brain measurement	GCST004969	caudate nucleus measurement|| response to disappointment|| functional brain measurement	
Caudate activity during reward	caudate nucleus measurement|| functional brain measurement|| response to reward	GCST004970	caudate nucleus measurement|| functional brain measurement|| response to reward	
Cellular adhesion molecule (red blood cell fatty acid level interaction)	fatty acid measurement|| cellular adhesion molecule measurement	GCST004820	fatty acid measurement|| cellular adhesion molecule measurement	
